Experiment: Apr29_NP_tst_expt vial 7, Fri Apr 29 15:50:36 2022
11.9349,1634
11.9402,1631
11.9459,1626
11.9515,1626
11.9571,1635
11.9625,1631
11.9681,1624
11.9737,1626
11.9793,1635
11.9847,1630
11.9903,1623
11.996,1628
12.0013,1636
12.0069,1627
12.0126,1624
12.0182,1627
12.0238,1635
12.0292,1632
12.0348,1624
12.0404,1625
12.0458,1633
12.0514,1630
12.057,1624
12.0627,1632
12.068,1634
12.0736,1628
12.0793,1624
12.0849,1630
12.0903,1634
12.0959,1628
12.1016,1624
12.1069,1632
12.1125,1635
12.1182,1627
12.1238,1625
12.1291,1631
12.1347,1632
12.1404,1624
12.146,1628
12.1514,1634
12.157,1629
12.1626,1622
12.1683,1630
12.1736,1633
12.1792,1629
12.1848,1626
12.1905,1629
12.1958,1635
12.2014,1628
12.207,1626
12.2127,1632
12.218,1634
12.2237,1626
12.2293,1625
12.2347,1634
12.2403,1633
12.246,1624
12.2516,1626
12.2569,1634
12.2626,1632
12.2682,1624
12.2736,1629
12.2792,1635
12.2848,1629
12.2904,1625
12.2958,1631
12.3014,1634
12.3071,1624
12.3127,1625
12.318,1634
12.3237,1629
12.3293,1624
12.3349,1627
12.3403,1635
12.3459,1628
12.3515,1623
12.3569,1629
12.3625,1634
12.3681,1631
12.3737,1624
12.3791,1627
12.3847,1634
12.3903,1628
12.396,1626
12.4013,1630
12.407,1632
12.4126,1625
12.4182,1626
12.4236,1633
12.4292,1632
12.4348,1625
12.4405,1629
12.4458,1634
12.4514,1631
12.4571,1625
