Experiment: Feb_26_Turb_expt vial 3, Fri Feb 26 16:54:25 2021
7.7444,54991
7.7497,55000
7.7553,54995
7.761,54993
7.7666,54994
7.7719,54992
7.7776,54996
7.7832,54994
7.7888,54997
7.7942,54996
7.7998,54996
7.8054,54996
7.8111,54995
7.8164,54998
7.822,54997
7.8277,54997
7.8333,54996
7.8386,54994
7.8443,54996
7.8499,54991
7.8555,54994
7.8609,54997
7.8665,54994
7.8721,55001
7.8777,54998
7.8831,55002
7.8887,54991
7.8943,54996
7.8997,55000
7.9053,55000
7.9109,54998
7.9166,54998
7.9222,54998
7.9276,54999
7.9332,55000
7.9388,55000
7.9442,55002
7.9498,54997
7.9555,54999
7.9608,54995
7.9664,54998
7.9721,55000
7.9777,54994
7.9831,54999
7.9887,54998
7.9943,54994
8.0,54994
8.0053,55003
8.011,54993
8.0166,54997
8.022,54999
8.0276,54998
8.0332,54997
8.0389,54991
8.0442,54996
8.0498,54999
8.0555,54990
8.0608,54998
8.0664,54999
8.0721,54998
8.0777,55000
8.083,54996
8.0887,54997
8.0943,54997
8.0999,54995
8.1052,55003
8.1109,55000
8.1165,55005
8.1221,55002
8.1275,54998
8.1331,55004
8.1387,55001
8.1443,55004
8.15,55004
8.1553,55004
8.1609,54996
8.1666,55005
8.1722,55003
8.1775,54999
8.1832,55003
8.1888,55005
8.1944,55001
8.1998,55002
8.2054,54999
8.211,54994
8.2164,55000
8.222,55001
8.2277,54996
8.2333,55000
8.2386,54997
8.2443,54998
8.2499,54995
8.2556,54991
8.2609,54994
8.2666,54999
8.2722,54993
8.2776,54997
8.2832,54997
8.2888,54996
8.2945,55001
8.2998,55003
8.3055,55000
8.3111,55002
8.3167,55000
8.3221,54996
8.3277,54995
8.3331,54997
8.3387,54998
8.3443,54995
8.3499,55000
8.3553,54995
8.3609,54998
8.3665,54997
8.3721,54998
8.3778,54995
8.3831,54995
8.3888,54994
8.3944,54998
8.4,54997
8.4054,54993
8.411,54997
8.4167,54997
8.422,54996
8.4276,54996
8.4333,54993
8.4389,54997
8.4442,55000
8.4499,54996
8.4555,54999
8.4611,54998
8.4665,55000
8.4721,55002
8.4777,55000
8.4834,55000
8.4887,54997
8.4943,54995
8.5,55003
8.5056,54993
8.511,54995
8.5166,54999
8.5222,54998
8.5276,54992
8.5332,54996
8.5389,54998
8.5445,55000
8.5499,54995
8.5555,54996
8.5609,54996
8.5665,54994
8.5722,54998
8.5778,54995
8.5831,54996
8.5888,54997
8.5944,54996
8.6001,54996
8.6055,54993
8.611,55001
8.6166,54996
8.6222,54996
8.6279,55005
8.6332,54995
8.6388,54996
8.6444,55002
8.65,54994
8.6554,54935
8.6611,54818
8.6666,54883
8.6722,54732
8.6776,54963
8.6832,54885
8.6888,54970
8.6944,54902
8.7,54984
8.7054,54954
8.711,54990
8.7166,54940
8.7222,54962
8.7278,54988
8.7332,54993
8.7388,54999
8.7444,54998
8.7498,54996
8.7554,54972
8.7611,54993
8.7667,54996
8.7723,54990
8.7777,54995
8.7833,54993
8.7889,54989
8.7945,54988
8.7999,54989
8.8055,54981
8.8112,54992
8.8165,54992
8.8221,54987
8.8278,54978
8.8334,54978
8.8388,54977
8.8444,54978
8.8501,54971
8.8554,54970
8.861,54981
8.8667,54978
8.872,54982
8.8777,54994
8.8833,54998
8.8889,54993
8.8943,54990
8.8999,54995
8.9056,54993
8.9112,54991
8.9165,54994
8.9222,54993
8.9278,54999
8.9332,54987
8.9388,54996
8.9445,54993
8.9501,54996
8.9554,54993
8.9611,54989
8.9667,54991
8.9723,55001
8.9777,54994
8.9833,54998
8.9889,55001
8.9945,54998
8.9999,54998
9.0056,54997
9.0112,54996
9.0165,55001
9.0222,54999
9.0278,54998
9.0334,54999
9.0387,55000
9.0444,55005
9.05,54999
9.0556,54996
9.061,54999
9.0666,55006
9.0723,54999
9.0779,54997
9.0832,55001
9.0889,54994
9.0945,54997
9.0999,54988
9.1055,54995
9.1112,54990
9.1168,54988
9.1221,54990
9.1278,54990
9.1334,54990
9.1388,54986
9.1444,54986
9.15,54994
9.1557,54993
9.161,54993
9.1666,54983
9.1723,54976
9.1779,54984
9.1833,54972
9.1889,54972
9.1945,55000
9.1999,54994
9.2055,54995
9.2112,54998
9.2165,54997
9.2222,54997
9.2278,54997
9.2334,54993
9.2388,54996
9.2444,54997
9.2501,54998
9.2554,54995
9.261,55001
9.2667,54999
9.2723,54994
9.2777,54994
9.2833,55000
9.2889,54996
9.2946,54993
9.2999,55000
9.3055,54998
9.3112,55001
9.3168,54995
9.3221,55000
9.3278,54995
9.3334,54997
9.3387,54999
9.3444,54992
9.35,54995
9.3556,55000
9.361,54995
9.3666,54991
9.3722,54997
9.3779,54996
9.3832,54994
9.3888,54995
9.3945,54998
9.4001,54992
9.4055,54999
9.4111,54996
9.4167,54996
9.4221,54994
9.4277,54991
9.4333,54996
9.439,54993
9.4446,54996
9.45,54999
9.4556,54990
9.4612,54996
9.4666,55002
9.4722,54994
9.4778,54995
9.4832,55000
9.4889,54995
9.4945,55001
9.5001,54992
9.5055,54994
9.5111,54998
9.5167,54992
9.5224,54994
9.5277,54995
9.5334,54995
9.539,54994
9.5443,54997
9.55,54998
9.5556,54999
9.5612,54998
9.5666,55001
9.5722,54992
9.5779,54998
9.5835,55001
9.5888,54992
9.5944,54992
9.6001,54997
9.6057,54993
9.611,54994
9.6167,54991
9.6223,54994
9.6279,55000
9.6333,54992
9.6389,54993
9.6445,54997
